Standard Kart*	0	0	0	0	0	0	0	0	0	0	0	0
Pipe Frame*	-0.5	0	-0.5	-0.5	+0.5	-0.25	+0.5	+0.5	-0.25	+0.25	+0.25	+0.5
Mach 8	0	0	+0.25	+0.5	-0.25	+0.25	-0.25	0	-0.25	+0.25	+0.25	0
Steel Driver[28]	+0.25	+0.5	-0.75	-0.25	-0.75	+0.5	-0.5	+0.75	-0.5	-0.5	0	-0.5
Cat Cruiser	-0.25	-0.25	+0.25	0	+0.25	0	+0.25	0	+0.25	0	0	+0.25
Circuit Special*	+0.5	-0.5	-0.25	+0.25	-0.75	+0.25	-0.5	-0.25	-0.75	-0.25	-0.5	-0.75
Tri-Speeder	+0.25	+0.5	-0.75	-0.25	-0.75	+0.5	-0.5	+0.75	-0.5	-0.5	0	-0.5
Badwagon	+0.5	-0.25	-0.5	0	-1	+0.5	-0.75	-0.25	-0.75	-0.5	+0.5	-1
Prancer	+0.25	0	0	0	-0.5	-0.25	0	+0.25	0	-0.25	-0.25	-0.25
Biddybuggy	-0.75	-0.5	-0.5	-0.25	+0.75	-0.5	+0.5	+0.5	+0.25	+0.5	+0.25	+0.75
Landship**	-0.5	+0.5	-0.25	-0.75	+0.5	-0.5	+0.25	+0.75	0	-0.25	+0.75	+0.5
Sneeker	+0.25	-0.25	0	0	-0.5	0	0	0	-0.25	0	-0.75	-0.25
Sports Coupe	0	0	+0.25	+0.5	-0.25	+0.25	-0.25	0	-0.25	+0.25	+0.25	0
Gold Standard	+0.25	-0.25	0	0	-0.5	0	0	0	-0.25	0	-0.75	-0.25
GLA*	+0.5	-0.25	-0.5	0	-1	+0.5	-0.75	-0.25	-0.75	-0.5	+0.5	-1
W 25 Silver Arrow	-0.25	-0.25	0	+0.25	+0.25	-0.25	+0.25	+0.25	0	+0.25	+0.5	+0.25
300 SL Roadster	0	0	0	0	0	0	0	0	0	0	0	0
Blue Falcon	+0.25	-0.25	0	+0.25	-0.25	-0.5	-0.25	+0.25	-0.5	+0.5	0	-0.25
Tanooki Kart	-0.25	+0.25	0	0	-0.5	+0.25	+0.25	+0.5	0	0	+1	-0.25
B Dasher	+0.5	-0.5	-0.25	+0.25	-0.75	+0.25	-0.5	-0.25	-0.75	-0.25	-0.5	-0.75
Streetle[28]	-0.5	+0.25	-0.25	-0.75	+0.5	-0.5	+0.25	+0.75	0	-0.25	+0.75	+0.5
P-Wing	+0.5	-0.5	-0.25	+0.25	-0.75	+0.25	-0.5	-0.25	-0.75	-0.25	-0.5	-0.75
Koopa Clown**	-0.25	+0.25	0	0	-0.5	+0.25	+0.25	+0.5	0	0	+1	-0.25
